条件查询： 票机类型： 全部 竟彩 竟彩足球 竟彩篮球 竟彩传统 北单 高频 传统   倒计时： 无 10 20 30 手动刷新 数据统计： 出票4台 停止71台 兑奖1台 优先兑奖0台 已登录5台 总余额247774.07 批量操作：          -    竟彩 竟彩足球 竟彩篮球 竟彩传统 北单 高频 传统    
票机类型 IP 网点号 活动状态 连接状态 出纸状态 余额 余额更新时间 操作 反选 
竟彩传统 .86 09187 停止 未连接 不出纸 19834.67 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .39 09172 停止 未连接 不出纸 19811.94 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .36 09173 停止 未连接 不出纸 19675.9 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .32 09174 停止 未连接 不出纸 19659.42 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .35 09183 停止 未连接 不出纸 19651.3 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .92 09151 停止 未连接 不出纸 19630.99 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .108 09195 停止 未连接 不出纸 19472.23 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .70 09159 停止 未连接 不出纸 19229.14 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .58 09157 停止 未连接 不出纸 12009.01 10-22 00:01:52 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .64 09115 停止 未连接 不出纸 1.77 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .105 09190 停止 未连接 不出纸 1.7 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .88 09184 停止 未连接 不出纸 1.61 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .78 09171 停止 未连接 不出纸 1.55 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .104 09189 停止 未连接 不出纸 1.5 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .57 09156 停止 未连接 不出纸 1.05 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .71 09161 停止 未连接 不出纸 0.92 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .107 09194 停止 未连接 不出纸 0.83 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .56 09155 停止 未连接 不出纸 0.55 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .80 09150 停止 未连接 不出纸 0.39 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .62 09114 停止 未连接 不出纸 0.35 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .33 09149 停止 未连接 不出纸 0.3 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .65 09118 停止 未连接 不出纸 0.25 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .38 09167 停止 未连接 不出纸 0.23 10-22 00:01:51 停止无纸有纸出票兑奖优兑重启关机  
竟彩传统 .79 09147 停止 未连接 不出纸 0.21 10-22 00:01:50 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .68 09105 停止 未连接 不出纸 2.91 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .53 12904 停止 未连接 不出纸 2.85 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .113 09160 停止 未连接 不出纸 2.83 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .50 09128 停止 未连接 不出纸 2.65 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .95 09176 停止 未连接 不出纸 2.64 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .75 09135 停止 未连接 不出纸 2.64 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .97 09178  停止 未连接 不出纸 2.56 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .76 09139 停止 未连接 不出纸 2.46 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .112 09199 停止 未连接 不出纸 2.18 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .45 09143 停止 未连接 不出纸 2.15 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .98 09179 停止 未连接 不出纸 2.14 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .54 12911 停止 未连接 不出纸 2.09 10-21 08:32:47 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .67 09102 停止 未连接 不出纸 1.99 10-21 08:32:47 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .101 09158 停止 未连接 不出纸 1.96 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .42 09162 停止 未连接 不出纸 1.93 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .60 09144 停止 未连接 不出纸 1.91 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .41 09163 停止 未连接 不出纸 1.85 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .73 09133 停止 未连接 不出纸 1.81 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .46 09145 停止 未连接 不出纸 1.77 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .40 09164 停止 未连接 不出纸 1.77 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .103 09126 停止 未连接 不出纸 1.73 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .47 09106 停止 未连接 不出纸 1.72 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .72 09132 停止 未连接 不出纸 1.7 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .89 09166 停止 未连接 不出纸 1.65 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .111 09198 停止 未连接 不出纸 1.64 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .81 12137 停止 未连接 不出纸 1.62 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .90 09165 停止 未连接 不出纸 1.61 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .51 12705 停止 未连接 不出纸 1.61 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .84 09119 停止 未连接 不出纸 1.6 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .66 09101 停止 未连接 不出纸 1.58 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .31 09175 停止 未连接 不出纸 1.49 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .61 09146 停止 未连接 不出纸 1.49 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .43 12130 停止 未连接 不出纸 1.41 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .77 09140 停止 未连接 不出纸 1.4 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .110 09197 停止 未连接 不出纸 1.28 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .44 12704 停止 未连接 不出纸 1.28 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .82 12146 停止 未连接 不出纸 1.28 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .74 09134 停止 未连接 不出纸 1.24 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .83 12403 停止 未连接 不出纸 1.2 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .59 09111 停止 未连接 不出纸 1.18 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .63 09123 停止 未连接 不出纸 1.12 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .49 09125 停止 未连接 不出纸 0.86 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .52 12901 停止 未连接 不出纸 0.8 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .96 09177  停止 未连接 不出纸 0.74 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .48 09113 停止 未连接 不出纸 0.62 10-21 08:32:44 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .69 09108 停止 未连接 不出纸 0.09 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
竟彩 .109 09196 停止 未连接 不出纸 0.02 10-21 08:32:45 停止无纸有纸出票兑奖优兑重启关机  
高频 .55 09169 出票 已连接 不出纸 40230.98 10-22 00:51:59 停止无纸有纸出票兑奖优兑重启关机  
高频 .106 09191 出票 已连接 不出纸 27193.14 10-22 01:05:18 停止无纸有纸出票兑奖优兑重启关机  
高频 .87 09185 出票 已连接 不出纸 5576.25 10-22 01:05:06 停止无纸有纸出票兑奖优兑重启关机  
高频 .85 09186 兑奖 已连接 不出纸 3300.01 10-22 01:02:39 停止无纸有纸出票兑奖优兑重启关机  
高频 .34 09148 出票 已连接 不出纸 2406.83 10-22 01:05:03 停止无纸有纸出票兑奖优兑重启关机  
